county,total,white,black,native,asian,other
01001,58761,74.449,19.564,0.1,1.12,4.767
01003,233420,83.968,8.33,0.363,0.877,6.462
01005,24877,45.46,46.903,0.297,0.506,6.834
01007,22251,75.826,20.687,0.094,0.31,3.083
01009,59077,91.306,1.234,0.384,0.169,6.906
01011,10328,23.209,68.91,0,0.416,7.465
01013,18981,51.509,44.581,0.364,1.28,2.265
01015,116162,71.715,22.065,0.222,0.659,5.339
01017,34612,56.749,40.778,0.061,0.173,2.239
01019,25069,91.284,4.021,0.479,0.108,4.109
01021,45140,81.287,9.431,1.433,0.507,7.342
01023,12669,56.674,39.956,0.221,0.118,3.031
01025,23058,51.444,45.494,0.065,0.39,2.606
01027,14209,81.505,12.598,0.035,0.253,5.609
01029,15144,92.631,2.714,0.231,0.099,4.325
01031,53559,72.507,16.798,0.687,1.051,8.956
01033,57270,78.048,16.038,0.311,0.374,5.23
01035,11576,49.68,48.471,0.285,0.311,1.253
01037,10329,66.405,30.206,0.087,0,3.301
01039,37542,83.65,12.269,0.312,0.581,3.188
01041,13205,71.079,23.165,0.076,1.166,4.513
01043,88284,91.837,1.087,0.402,0.315,6.359
01045,49455,70.401,21.062,0.962,1.235,6.339
01047,38326,27.746,69.058,0.543,0.626,2.027
01049,71680,82.453,1.455,1.532,0.1,14.46
01051,87694,73.858,20.841,0.283,0.686,4.332
01053,36755,61.929,30.303,3.058,0.245,4.465
01055,103348,77.945,15.215,0.318,0.724,5.798
01057,16297,84.23,12.726,0.147,0.221,2.675
01059,32011,77.639,4.249,0.419,0.109,17.585
01061,26647,83.912,9.277,0.266,0.537,6.008
01063,7706,17.298,81.819,0.091,0,0.792
01065,14742,38.414,56.797,0.285,0.061,4.443
01067,17282,70.559,25.315,0.347,0.555,3.223
01069,107040,66.573,27.248,0.289,0.922,4.968
01071,52618,89.718,3.29,0.754,0.405,5.833
01073,672265,50.333,42.722,0.182,1.742,5.02
01075,13885,85.798,10.997,0.353,0.166,2.686
01077,94329,84.377,9.877,0.334,0.611,4.801
01079,33116,76.763,10.179,5.04,0.293,7.724
01081,175126,68.668,22.477,0.154,4.348,4.353
01083,104199,76.815,13.161,0.845,1.84,7.34
01085,10153,24.554,74.884,0,0,0.561
01087,19198,16.319,78.873,0.036,0.406,4.365
01089,389781,65.375,24.475,0.515,2.482,7.152
01091,19180,45.386,50.834,0.334,0.787,2.659
01093,29203,91.337,3.811,0.318,0.291,4.243
01095,97923,85.772,2.804,0.896,0.613,9.915
01097,413878,56.697,36.26,0.393,2.025,4.625
01099,19816,53.719,42.309,1.312,0.237,2.422
01101,228132,32.754,59.072,0.146,3.333,4.694
01103,123102,76.405,13.51,0.383,0.491,9.211
01105,8479,28.435,70.81,0.012,0.083,0.66
01107,18925,57.49,39.662,0.174,0.053,2.621
01109,32997,56.605,37.282,0.339,2.012,3.761
01111,22179,76.956,18.95,0.113,0.28,3.702
01113,58849,46.937,44.878,0.182,0.78,7.224
01115,91719,85.227,9.796,0.338,0.407,4.232
01117,223916,78.044,13.004,0.238,2.006,6.709
01119,12196,25.492,72.261,0.082,0.467,1.697
01121,81105,63.111,31.925,0.153,0.432,4.38
01123,41251,69.128,26.562,0.063,0.461,3.787
01125,231558,62.14,32.053,0.17,1.648,3.989
01127,64978,88.576,5.987,0.154,0.189,5.094
01129,15434,66.723,23.377,6.751,0.402,2.747
01131,10441,27.545,70.185,0.125,0.038,2.107
01133,23655,93.215,1.112,0.52,0.444,4.709
02013,3407,16.906,5.371,37.071,19.842,20.81
02016,5219,25.982,3.851,9.331,40.678,20.157
02020,290674,59.174,5.322,7.399,9.784,18.321
02050,18538,9.052,1.16,83.353,1.413,5.022
02060,854,45.316,0.351,31.499,5.621,17.213
02063,7000,71.643,1.614,5.3,6.986,14.457
02066,2614,52.984,0.038,33.894,0.459,12.624
02068,2101,75.726,2.285,3.046,3.475,15.469
02070,4854,15.966,1.566,71.096,1.607,9.765
02090,96299,71.367,4.132,6.992,3.149,14.36
02100,2079,80.904,0,6.205,3.271,9.62
02105,2329,53.156,0.386,28.854,0.816,16.788
02110,32108,63.981,1.074,9.4,7.216,18.329
02122,59235,79.6,0.716,7.409,1.724,10.551
02130,13910,64.047,0.654,14.594,8.483,12.221
02150,13065,50.608,0.918,11.42,22.687,14.367
02158,8372,3.165,0.836,90.85,0.167,4.981
02164,999,17.117,2.202,61.762,3.504,15.415
02170,108661,79.196,1.281,6.206,1.8,11.517
02180,10018,14.204,1.028,76.033,1.298,7.437
02185,10924,31.802,1.767,50.165,5.785,10.482
02188,7682,10.648,1.237,80.708,1.289,6.118
02195,3374,57.736,1.156,7.943,17.842,15.323
02198,5799,45.059,0.379,38.455,1.38,14.727
02220,8462,62.267,0.685,9.371,7.882,19.794
02230,1303,78.051,3.07,4.912,2.226,11.742
02240,6888,74.956,0.886,12.79,3.107,8.261
02275,2134,56.982,0.047,22.868,0.843,19.26
02282,564,30.674,2.128,26.064,20.213,20.922
02290,5355,23.137,0.187,67.414,1.345,7.918
04001,66054,20.523,0.886,72.934,0.566,5.091
04003,125504,71.441,3.985,0.932,1.94,21.702
04005,144705,58.569,1.529,25.304,1.875,12.724
04007,53419,69.333,0.728,15.787,0.717,13.435
04009,38453,68.523,1.974,11.965,0.739,16.8
04011,9483,75.482,1.803,3.406,0.749,18.56
04012,16681,63.503,0.564,15.083,0.917,19.933
04013,4430871,66.673,5.703,1.88,4.28,21.465
04015,214229,83.157,1.131,1.931,1.08,12.702
04017,107110,46.129,1.115,43.09,0.39,9.276
04019,1042393,65.879,3.457,3.384,2.905,24.374
04021,433338,69.141,4.585,4.768,1.567,19.94
04023,47838,51.737,0.297,0.571,0.136,47.26
04025,237830,84.516,0.649,1.386,1.043,12.406
04027,204374,58.114,1.942,1.303,1.103,37.539
05001,17024,71.147,25.723,0.27,0.047,2.814
05003,19018,70.78,24.845,0.226,0.131,4.017
05005,41801,93.476,0.239,0.567,0.55,5.167
05007,286528,71.884,1.876,1.126,4.212,20.903
05009,37662,94.854,0.327,0.345,0.438,4.036
05011,10461,60.893,26.02,4.665,0.057,8.364
05013,4773,74.209,20.825,0.44,0.168,4.358
05015,28362,79.663,0.363,0.931,1.22,17.823
05017,10234,42.398,53.576,0.039,0.254,3.733
