county,unemployment,med_income
00000,3.7,"69,717"
01000,2.6,"53,990"
01001,2.3,"66,444"
01003,2.4,"65,658"
01005,4.1,"38,649"
01007,2.5,"48,454"
01009,2.2,"56,894"
01011,2.8,"32,027"
01013,3.4,"39,442"
01015,3.0,"48,166"
01017,2.6,"45,447"
01019,2.3,"46,365"
01021,2.3,"55,142"
01023,3.8,"40,601"
01025,5.0,"45,447"
01027,2.3,"47,036"
01029,2.4,"49,769"
01031,2.5,"55,052"
01033,3.0,"53,341"
01035,3.5,"35,621"
01037,2.5,"45,954"
01039,2.6,"44,188"
01041,2.6,"38,037"
01043,2.1,"55,036"
01045,2.6,"50,086"
01047,5.0,"33,159"
01049,2.3,"45,062"
01051,2.2,"63,147"
01053,3.1,"40,506"
01055,3.0,"46,308"
01057,2.7,"46,122"
01059,2.3,"45,440"
01061,2.4,"43,206"
01063,4.4,"30,225"
01065,3.9,"41,995"
01067,2.7,"56,389"
01069,2.6,"48,701"
01071,2.5,"46,998"
01073,2.6,"55,210"
01075,2.7,"44,265"
01077,2.6,"52,222"
01079,2.4,"55,555"
01081,2.4,"54,188"
01083,2.1,"69,207"
01085,5.2,"36,993"
01087,3.8,"35,354"
01089,2.1,"78,386"
01091,3.4,"42,048"
01093,2.5,"44,636"
01095,2.1,"50,858"
01097,3.2,"49,848"
01099,4.1,"40,997"
01101,3.1,"50,645"
01103,2.1,"56,340"
01105,5.3,"31,522"
01107,3.3,"43,926"
01109,2.7,"38,945"
01111,2.5,"45,889"
01113,2.6,"44,849"
01115,2.2,"63,015"
01117,1.8,"85,457"
01119,3.5,"29,490"
01121,3.1,"47,331"
01123,2.9,"47,444"
01125,2.5,"56,274"
01127,2.8,"46,343"
01129,3.6,"49,795"
01131,7.8,"30,071"
01133,2.4,"47,176"
02000,4.0,"78,437"
02013,2.0,"71,492"
02016,3.1,"86,050"
02020,3.3,"86,152"
02050,8.8,"54,849"
02060,4.3,"88,516"
02063,2.9,"88,029"
02066,9.3,"61,288"
02068,6.3,"85,251"
02070,5.6,"58,389"
02090,3.7,"76,754"
02100,6.6,"63,155"
02105,5.6,"56,555"
02110,2.8,"89,922"
02122,4.5,"71,111"
02130,3.8,"73,260"
02150,4.3,"80,863"
02158,12.9,"38,203"
02164,5.8,"51,205"
02170,4.6,"80,164"
02180,6.9,"65,578"
02185,5.0,"95,041"
02188,9.0,"67,586"
02195,5.8,"71,878"
02198,5.5,"56,226"
02201,,
02220,2.8,"78,248"
02230,6.7,"65,712"
02232,,
02240,5.2,"68,347"
02261,,
02275,5.1,"64,732"
02280,,
02282,5.1,"73,014"
02290,7.9,"44,934"
04000,3.8,"68,967"
04001,7.7,"41,002"
04003,4.4,"55,748"
04005,4.3,"63,829"
04007,4.2,"52,665"
04009,3.6,"52,644"
04011,2.9,"71,669"
04012,4.7,"44,330"
04013,3.3,"76,230"
04015,4.5,"48,169"
04017,5.2,"49,057"
04019,3.8,"60,604"
04021,3.9,"70,835"
04023,7.5,"49,216"
04025,3.5,"57,676"
04027,12.5,"55,991"
05000,3.3,"52,577"
05001,3.3,"50,928"
05003,5.5,"44,030"
05005,3.6,"45,116"
05007,2.4,"78,974"
05009,2.9,"48,700"
05011,5.0,"40,454"
05013,3.1,"49,977"
05015,2.9,"49,225"
05017,6.2,"34,857"
